Date,COST,KO,PEP,PG,PM,UL,WMT
2022-03-09,524.9376220703125,57.671913146972656,155.26930236816406,145.95001220703125,90.1233901977539,44.1646728515625,137.81932067871094
2022-03-10,529.9815673828125,56.615509033203125,152.41842651367188,142.19261169433594,88.27884674072266,43.12424850463867,140.95201110839844
2022-03-11,524.708740234375,56.65462875366211,151.64898681640625,140.50521850585938,85.37753295898438,42.73530960083008,140.39862060546875
2022-03-14,523.246337890625,57.69941329956055,153.77975463867188,142.30050659179688,86.0692367553711,43.12424850463867,142.35531616210938
2022-03-15,539.5321655273438,58.7639045715332,156.84764099121094,147.42156982421875,89.01859283447266,43.163143157958984,144.06495666503906
2022-03-16,540.5966796875,58.606197357177734,157.53817749023438,146.92123413085938,90.0849609375,43.834075927734375,143.64002990722656
2022-03-17,549.9483032226562,59.22715377807617,158.7613983154297,147.38232421875,89.66226196289062,44.06743621826172,143.85826110839844
2022-03-18,558.4642944335938,59.23701095581055,160.58633422851562,147.30384826660156,90.2098617553711,44.047996520996094,144.28485107421875
2022-03-21,552.6743774414062,59.71011734008789,160.35946655273438,147.863037109375,90.44042205810547,43.834075927734375,143.08445739746094
2022-03-22,556.5442504882812,59.92695999145508,162.1153564453125,149.00106811523438,89.96968841552734,44.26191711425781,142.6578826904297
2022-03-23,551.1720581054688,59.5327033996582,161.26699829101562,147.96115112304688,88.84992980957031,43.50347137451172,140.82257080078125
2022-03-24,555.2410278320312,60.104373931884766,162.2436065673828,148.21620178222656,90.14494323730469,43.3770637512207,141.6956024169922
2022-03-25,552.8533935546875,60.64647674560547,163.00318908691406,149.93304443359375,90.99205780029297,43.65904998779297,142.31065368652344
2022-03-28,562.3045043945312,61.03087615966797,163.48654174804688,150.963134765625,89.64836120605469,43.95075988769531,144.8404083251953
2022-03-29,567.050048828125,61.26742935180664,165.9132537841797,152.51319885253906,91.16732788085938,44.971736907958984,146.06063842773438
2022-03-30,573.506591796875,61.31671142578125,165.6863555908203,151.4634552001953,91.46918487548828,44.9814567565918,148.67967224121094
2022-03-31,572.8898315429688,61.1097297668457,165.1142120361328,149.90362548828125,91.46918487548828,44.31052780151367,147.73721313476562
